               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.072761,            0.061932,                   0,             0.25804,             0.59128,             0.30041,            0.097989,            0.077028,            0.053091,                   0,            0.037656,           0.0056556,           0.0056556
                  69,            0.072923,            0.046748,                   0,             0.18177,               0.775,              0.2079,            0.060724,            0.078318,            0.053298,                   0,            0.036722,           0.0057217,           0.0057217
                  70,            0.077934,            0.062205,                   0,             0.18177,               0.775,              0.2079,            0.060724,            0.078318,            0.053298,                   0,            0.035787,           0.0057872,           0.0057872
                  71,            0.077082,             0.06091,                   0,              0.2416,                0.75,              0.2696,            0.092246,            0.073704,            0.049579,                   0,            0.034852,           0.0058524,           0.0058524
                  72,            0.072619,            0.067427,                   0,              0.2416,                0.75,              0.2696,            0.092246,            0.073704,            0.049579,                   0,            0.033917,            0.005917,            0.005917
                  73,            0.072846,            0.058944,                   0,             0.10809,               0.925,             0.11023,             0.04687,            0.085399,            0.061572,                   0,            0.032981,           0.0059811,           0.0059811
                  74,            0.083874,            0.067832,                   0,             0.10809,               0.925,             0.11023,             0.04687,            0.085399,            0.061572,                   0,            0.032045,           0.0060447,           0.0060447
                  75,             0.08586,            0.055463,                   0,             0.20222,               0.775,             0.20962,            0.072431,            0.077664,            0.049893,                   0,            0.031108,           0.0061078,           0.0061078
                  76,            0.074171,            0.050642,                   0,             0.20222,               0.775,             0.20962,            0.072431,            0.077664,            0.049893,                   0,             0.03017,           0.0061704,           0.0061704
                  77,            0.070695,            0.058322,                   0,             0.17002,                0.55,             0.23724,            0.098719,            0.097527,            0.049726,                   0,            0.029233,           0.0062326,           0.0062326
                  78,            0.097211,            0.059646,                   0,             0.17002,                0.55,             0.23724,            0.098719,            0.097527,            0.049726,                   0,            0.028294,           0.0062942,           0.0062942
                  79,            0.097056,            0.055067,                   0,             0.20971,               0.675,              0.2495,            0.078436,            0.078245,            0.050131,                   0,            0.027355,           0.0063554,           0.0063554
                  80,            0.070616,            0.052622,                   0,             0.20971,               0.675,              0.2495,            0.078436,            0.078245,            0.050131,                   0,            0.026416,            0.006416,            0.006416
                  81,            0.072851,             0.05876,                   0,             0.40679,                 0.7,             0.55768,             0.17242,            0.083921,            0.052813,                   0,            0.025476,           0.0064762,           0.0064762
                  82,            0.085766,            0.050585,                   0,             0.40679,                 0.7,             0.55768,             0.17242,            0.083921,            0.052813,                   0,            0.024536,           0.0065358,           0.0065358
                  83,            0.081371,            0.051296,                   0,              0.1367,                0.85,              0.1305,            0.043901,            0.080082,            0.056468,                   0,            0.023595,            0.006595,            0.006595
                  84,            0.075932,            0.052204,                   0,              0.1367,                0.85,              0.1305,            0.043901,            0.080082,            0.056468,                   0,            0.022654,           0.0066536,           0.0066536
                  85,            0.077328,            0.063458,                   0,             0.68216,             0.85861,             0.84103,               0.407,            0.070008,            0.055125,                   0,            0.021712,           0.0067118,           0.0067118
                  86,            0.073538,            0.059321,                   0,             0.68216,             0.85861,             0.84103,               0.407,            0.070008,            0.055125,                   0,            0.020769,           0.0067695,           0.0067695
                  87,            0.072021,            0.063742,                   0,             0.54151,                0.55,             0.55673,             0.15544,            0.068321,            0.050126,                   0,            0.019827,           0.0068267,           0.0068267
                  88,            0.064799,            0.065281,                   0,             0.54151,                0.55,             0.55673,             0.15544,            0.068321,            0.050126,                   0,            0.018883,           0.0068834,           0.0068834
